,time,action,sideWithBall,lenOfNearest,nearestPlayer,lenOfMiddleDist,middleDistPlayer,passPair,goalIsNearest
1761,2755,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1762,2756,searching,,0,[],3,"['L4', 'R5', 'R10']",,False
1763,2757,searching,,0,[],4,"['L4', 'R5', 'R8', 'R10']",,False
1764,2758,searching,,0,[],4,"['L4', 'R5', 'R8', 'R10']",,False
1765,2759,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1766,2760,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1767,2761,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1768,2762,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1769,2763,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1770,2764,passing,R,2,"['L4', 'R10']",4,"['L4', 'R5', 'R8', 'R10']","['R10', 'R10', 'R']",False
1771,2765,dribbling,R,1,['R10'],4,"['L4', 'R5', 'R8', 'R10']",,False
1772,2766,dribbling,R,1,['R10'],5,"['L4', 'L8', 'R5', 'R8', 'R10']",,False
1773,2767,fight,,2,"['L4', 'R10']",4,"['L4', 'R5', 'R8', 'R10']",,False
1774,2768,searching,,0,[],5,"['L4', 'L8', 'R5', 'R8', 'R10']",,False
1775,2769,searching,,0,[],5,"['L4', 'L8', 'R5', 'R8', 'R10']",,False
1776,2866,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1777,2867,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1778,2868,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1779,2869,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1780,2870,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1781,2871,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1782,2872,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1783,2873,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1784,2874,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1785,2875,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1786,2876,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1787,2877,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1788,2878,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1789,2879,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1790,2880,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1791,2881,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1792,2882,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1793,2883,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1794,2884,searching,,0,[],2,"['L8', 'R8']",,False
1795,2885,searching,,0,[],4,"['L4', 'L8', 'R8', 'R10']",,False
1796,2886,searching,,0,[],4,"['L4', 'L8', 'R8', 'R10']",,False
1797,2887,searching,,0,[],3,"['L4', 'R8', 'R10']",,False
1798,2888,searching,,0,[],2,"['L4', 'R10']",,False
1799,2889,searching,,0,[],2,"['L4', 'R10']",,False
1800,2986,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1801,2987,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1802,2988,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1803,2989,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1804,2990,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1805,2991,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1806,2992,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1807,2993,dribbling,R,1,['R8'],3,"['L8', 'R5', 'R8']",,False
1808,2994,passing,R,2,"['L8', 'R8']",3,"['L8', 'R5', 'R8']","['R8', 'R5', 'R']",False
1809,2995,passing,R,1,['R8'],3,"['L8', 'R5', 'R8']","['R8', 'R5', 'R']",False
1810,2996,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1811,2997,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1812,2998,searching,,0,[],3,"['L8', 'R5', 'R8']",,False
1813,2999,dribbling,R,1,['R5'],3,"['L8', 'R5', 'R8']",,False
1814,3096,dribbling,R,1,['R6'],4,"['R6', 'R7', 'R8', 'R11']",,False
1815,3097,dribbling,R,1,['R6'],3,"['R6', 'R8', 'R11']",,False
1816,3098,dribbling,R,1,['R6'],3,"['R6', 'R8', 'R11']",,False
1817,3099,dribbling,R,1,['R6'],3,"['R6', 'R8', 'R11']",,False
1818,3100,passing,R,1,['R6'],4,"['L11', 'R6', 'R8', 'R11']","['R6', 'R11', 'R']",False
1819,3101,searching,,0,[],6,"['L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1820,3102,dribbling,R,1,['R11'],8,"['L6', 'L7', 'L10', 'L11', 'R6', 'R7', 'R8', 'R11']",,False
1821,3103,dribbling,R,1,['R11'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1822,3104,dribbling,R,1,['R11'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1823,3105,dribbling,R,1,['R11'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1824,3106,dribbling,R,1,['R11'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1825,3107,dribbling,R,1,['R11'],6,"['L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1826,3108,dribbling,R,1,['R11'],6,"['L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1827,3109,dribbling,R,1,['R11'],6,"['L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1828,3110,dribbling,R,1,['R11'],6,"['L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
1829,3206,passing,R,1,['R6'],3,"['R6', 'R7', 'R8']","['R6', 'R7', 'R']",False
1830,3207,searching,,0,[],5,"['L6', 'L9', 'R6', 'R7', 'R8']",,False
1831,3208,searching,,0,[],5,"['L6', 'L9', 'R6', 'R7', 'R8']",,False
1832,3209,dribbling,R,1,['R7'],4,"['L6', 'L9', 'R6', 'R7']",,False
1833,3210,dribbling,R,1,['R7'],5,"['L6', 'L7', 'L9', 'R6', 'R7']",,False
1834,3211,searching,,0,[],5,"['L6', 'L7', 'L9', 'R6', 'R7']",,False
1835,3212,searching,,0,[],7,"['L6', 'L7', 'L9', 'L10', 'R6', 'R7', 'R8']",,False
1836,3213,dribbling,R,1,['R6'],7,"['L6', 'L7', 'L9', 'L10', 'R6', 'R7', 'R8']",,False
1837,3214,dribbling,R,1,['R6'],8,"['L6', 'L7', 'L9', 'L10', 'R6', 'R7', 'R8', 'R11']",,False
1838,3215,dribbling,R,1,['R6'],7,"['L6', 'L7', 'L9', 'L10', 'R6', 'R7', 'R8']",,False
1839,3216,dribbling,R,1,['R6'],6,"['L7', 'L9', 'L10', 'R6', 'R7', 'R8']",,False
1840,3217,dribbling,R,1,['R6'],5,"['L7', 'L9', 'L10', 'R6', 'R7']",,False
1841,3218,passing,R,1,['R6'],5,"['L7', 'L9', 'L10', 'R6', 'R7']","['R6', 'R2', 'R']",False
1842,3219,searching,,0,[],5,"['L7', 'L9', 'L10', 'R6', 'R7']",,False
1843,3220,searching,,0,[],4,"['L7', 'L9', 'R6', 'R7']",,False
1844,3221,searching,,0,[],5,"['L7', 'L9', 'R2', 'R6', 'R7']",,False
1845,3222,searching,,0,[],3,"['L11', 'R2', 'R6']",,False
1846,3223,searching,,0,[],2,"['L11', 'R2']",,False
1847,3224,searching,,0,[],3,"['L11', 'R2', 'R3']",,False
1848,3225,dribbling,R,1,['R2'],3,"['L11', 'R2', 'R3']",,False
1849,3226,dribbling,R,1,['R2'],3,"['L11', 'R2', 'R3']",,False
1850,3227,passing,R,1,['R2'],3,"['L11', 'R2', 'R3']","['R2', 'R8', 'R']",False
1851,3228,searching,,0,[],3,"['L10', 'L11', 'R2']",,False
1852,3229,searching,,0,[],3,"['L10', 'R2', 'R6']",,False
1853,3230,searching,,0,[],4,"['L7', 'L10', 'R2', 'R6']",,False
1854,3231,searching,,0,[],4,"['L6', 'L7', 'L10', 'R6']",,False
1855,3232,searching,,0,[],5,"['L6', 'L7', 'L10', 'R6', 'R8']",,False
1856,3233,searching,,0,[],4,"['L6', 'L7', 'R6', 'R8']",,False
1857,3234,searching,,0,[],4,"['L6', 'L7', 'R6', 'R8']",,False
